title,author,isbn,isbn13,year_published,publisher,pages,average_rating,description,genres,source,goodreads_id,google_id,user_rating,ratings_count,categories,read_status,date_read,popularity_score,recommendation_features
"The Perfect Divorce (Perfect, #2)",Jeneva Rose,,9798874620936,2025,"Blackstone Publishing, Inc.",288,4.03,,['Fiction'],goodreads_export,219240806,,5,0,[],read,,85.30000000000001,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': True, 'award_potential': False}"
Sky Full of Elephants,Cebo Campbell,1668034921,9781668034927,2024,Simon & Schuster,304,3.84,,['Fiction'],goodreads_export,207293815,,4,0,[],read,2025/04/28,75.4,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
The Reformatory,Tananarive Due,,,2023,S&S/Saga Press,573,4.44,,['Fiction'],goodreads_export,74891190,,4,0,[],read,2025/04/27,78.4,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': True, 'short_book': False, 'highly_rated': True, 'popular': False, 'user_favorite': True, 'award_potential': False}"
The Troop,Nick Cutter,1476717710,9781476717715,2014,Gallery Books,358,3.83,,['Fiction'],goodreads_export,17571466,,2,0,[],read,2025/04/19,48.3,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
The School for Good Mothers,Jessamine Chan,,,2022,Simon & Schuster,336,3.53,,['Fiction'],goodreads_export,57846320,,0,0,[],currently-reading,,46.3,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
When She Woke,Hillary Jordan,1565126297,9781565126299,2011,Algonquin Books,344,3.68,,['Fiction'],goodreads_export,11045709,,0,0,[],read,2025/03/10,36.800000000000004,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': False, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
The Chain,Adrian McKinty,031653126X,9780316531269,2019,Mulholland Books,357,3.79,,['Fiction'],goodreads_export,42779092,,3,0,[],read,2025/03/08,52.9,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': False, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
I’m Still Here: A Dystopian Horror Novel (I'm Still Here Book 1),Charles  Welch,,,2024,nan,169,3.87,,"['Horror', 'Dystopian']",goodreads_export,218463214,,2,0,[],read,2025/03/06,65.7,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': False, 'award_potential': False}"
Scar Tissue: My Fight to Survive Multiple Intense Compound Traumas,Lucy Henson,1039142990,9781039142992,2022,FriesenPress,204,4.5,,['Fiction'],goodreads_export,62826313,,5,0,[],read,2025/02/03,81.0,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': True, 'popular': False, 'user_favorite': True, 'award_potential': False}"
Deadbolt: a horror short story,John  Ashley,,,2024,Panacea Publishing,25,3.76,,['Horror'],goodreads_export,220606548,,4,0,[],read,2025/02/28,74.6,"{'dark': False, 'romantic': False, 'action': False, 'mystery': False, 'family': False, 'supernatural': False, 'psychological': False, 'historical': False, 'contemporary': True, 'recent': True, 'classic': False, 'long_book': False, 'short_book': True, 'highly_rated': False, 'popular': False, 'user_favorite': True, 'award_potential': False}"
